referencia,autor,anio,edicion,capitulo,metodo,problema,supuestos,criterio_decision,modulo,codigo,estado,procedencia
—,"Quesnay (antecedente, mención)",1758,—,—,flujo circular de la renta (filtraciones=inyecciones),circulación del ingreso entre agentes,"proporciones fijas c,t,m; I,G,X exógenas",Y*=(I+G+X)/[(1-c)(1-t)+t+m]; verifica S+T+M=I+G+X exacto,simuladores/macro/modelos,nivel_01/m01_flujo_circular.py,implementado+validado (4 verificaciones numéricas),conocimiento macro general (esquema de manuales; NO verificado contra edición)
—,Kuznets; Stone (mención),1934,—,—,identidad del gasto Y=C+I+G+X-M,medir el producto agregado,identidad ex post; componentes exógenos,ΔY=ΔG uno a uno (identidad≠comportamiento); participaciones suman 100%,simuladores/macro/modelos,nivel_01/m02_demanda_agregada.py,implementado+validado (3 verificaciones); calibración didáctica estilo Perú (decisión de diseño),conocimiento general (SCN); NO verificado contra edición
Teoría General (mención),Keynes,1936,—,—,función de consumo keynesiana C=C0+cYd,comportamiento del consumo agregado,0<c<1; C0>0; depende del ingreso corriente,pendiente=PMC; nivelación Yd=C0/(1-c); PMeC decreciente,simuladores/macro/modelos,nivel_01/m03_funcion_consumo.py,implementado+validado (5 verificaciones numéricas),conocimiento macro general (NO verificado contra edición; crítica de Kuznets documentada en ficha)
—,Kahn; Keynes (mención),1931,—,—,multiplicador keynesiano k=1/(1-c(1-t)),efecto total de un impulso de gasto,capacidad ociosa; precios fijos; c constante; sin r,suma de rondas=fórmula cerrada (1e-9); k con impuestos<k sin; convergencia a k·ΔG,simuladores/macro/modelos,nivel_01/m04_multiplicador.py,implementado+validado (4 verificaciones numéricas),conocimiento macro general (NO verificado contra edición)
—,Keynes (mención; Mandeville 1714 antecedente),1936,—,—,paradoja del ahorro (cruz keynesiana),¿aumenta el ahorro agregado si todos quieren ahorrar más?,I exógena FIJA (supuesto crucial); precios fijos; economía cerrada,ΔS*=0 exacto; S*=I+(G-T); ΔY=-k·ΔC0,simuladores/macro/modelos,nivel_01/m05_paradoja_ahorro.py,implementado+validado (3 verificaciones numéricas),conocimiento macro general (NO verificado contra edición)
Mr. Keynes and the Classics (mención),Hicks; Hansen (difusión),1937,—,—,modelo IS-LM (equilibrio bienes+dinero),determinación simultánea de Y y r; eficacia fiscal vs monetaria,precios fijos; economía cerrada; M exógena; sin expectativas,"(Y*,r*) satisface ambos mercados (residuos<1e-9); ↑G→↑Y,↑r,↓I; ↑M/P→↑Y,↓r; k_ISLM<k_simple",simuladores/macro/modelos,nivel_02/m10_islm.py,implementado+validado (4 verificaciones numéricas),conocimiento macro general (NO verificado contra edición)
—,"síntesis keynesiana (Hicks-Hansen, mención)",1937,—,—,mercado de bienes con I=I0-b·r,equilibrio de bienes dado r; canal del crédito,r exógena; I lineal en r; precios fijos,DA(Y*)=Y* exacto; dY/dG=k pleno; dY/dr=-b/(1-c1),simuladores/macro/modelos,nivel_02/m06_mercado_bienes.py,implementado+validado (4 verificaciones),conocimiento macro general (NO verificado contra edición)
—,Hicks (mención),1937,—,—,curva IS (lugar geométrico de bienes),"familia de equilibrios (Y,r); shocks fiscales",los de m06; parámetros fijos sobre la curva,desplazamientos k·dG y -c1·k·dT exactos; pendiente -(1-c1)/b; cada punto equilibra bienes,simuladores/macro/modelos,nivel_02/m07_curva_is.py,implementado+validado (4 verificaciones),conocimiento macro general (NO verificado contra edición)
—,"Keynes (preferencia por liquidez, mención)",1936,—,—,mercado monetario L=kY-hr,determinación de r dado Y; costo de oportunidad del dinero,dos activos; Y exógeno; M exógena; P fijo,L(r*)=M/P exacto; dr/dMP=-1/h; dr/dY=k/h,simuladores/macro/modelos,nivel_02/m08_mercado_dinero.py,implementado+validado (3 verificaciones),conocimiento macro general (NO verificado contra edición)
—,Hicks (mención),1937,—,—,curva LM (lugar geométrico del dinero),"familia de equilibrios monetarios (Y,r)",los de m08; M/P fija sobre la curva,pendiente k/h exacta; desplazamiento dMP/k; cada punto equilibra dinero,simuladores/macro/modelos,nivel_02/m09_curva_lm.py,implementado+validado (3 verificaciones),conocimiento macro general (NO verificado contra edición)
—,debate keynesianos-monetaristas (mención),1965,—,—,efecto expulsión (crowding out),¿el gasto público desplaza inversión privada?,IS-LM; déficit sin acomodo; sin expectativas,identidad ΔY=k(ΔG+ΔI); límites h→∞ (nula) y h→0 (total); acomodo dMP→Δr=0,simuladores/macro/modelos,nivel_02/m11_efecto_expulsion.py,implementado+validado (4 verificaciones; los límites teóricos son tests),conocimiento macro general (NO verificado contra edición)
—,Keynes; Hicks; Krugman 1998 (menciones),1937,—,—,trampa de liquidez (LM con piso r=0),impotencia monetaria con demanda débil,"r≥0; demanda débil (estado, no parámetro)",en trampa: +M no mueve Y (exacto) y multiplicador fiscal PLENO; salida fiscal verificada,simuladores/macro/modelos,nivel_02/m12_trampa_liquidez.py,implementado+validado (4 verificaciones; régimen endógeno),conocimiento macro general (NO verificado contra edición)
—,Phillips 1958; Samuelson-Solow 1960 (menciones),1958,—,—,curva de Phillips original,trade-off inflación-desempleo como menú,πe FIJA (supuesto que colapsó); relación estable,π(un)=πe; pendiente -α; trade-off verificado,simuladores/macro/modelos,nivel_03/m13_curva_phillips.py,implementado+validado (3 verificaciones),conocimiento macro general (NO verificado contra fuentes)
—,Friedman 1968; Phelps 1967 (menciones),1968,—,—,Phillips aumentada (expectativas adaptativas),por qué el menú era transitorio; tasa natural,πe=π(t-1); un no manipulable por demanda,Δπ=α(un-u) constante (aceleracionista); u=un→π constante (LP vertical); desinflación simétrica,simuladores/macro/modelos,nivel_03/m14_phillips_expectativas.py,implementado+validado (3 verificaciones; primer modelo dinámico),conocimiento macro general (NO verificado contra fuentes)
—,Okun 1962 (mención),1962,—,—,ley de Okun Δu=-β(g-g*),traducir crecimiento en desempleo,regla empírica lineal; β inestable por país,Δu(g*)=0; pendiente -β; proyección lineal exacta,simuladores/macro/modelos,nivel_03/m15_ley_okun.py,implementado+validado (3 verificaciones); β=0.4 didáctico NO peruano (informalidad advertida en ficha),regla empírica (mención) + decisión de diseño en calibración
—,"práctica de bancos centrales (Okun, HP: menciones)",1962,—,—,brecha del producto con cierre geométrico,medir recesiones; costo acumulado del ciclo,Y* observable y exógeno; cierre (1-λ) didáctico,decaimiento geométrico exacto; identidad Y=Y*(1+gap); semivida teórica=simulada,simuladores/macro/modelos,nivel_03/m16_brecha_producto.py,implementado+validado (3 verificaciones),conocimiento general + decisión de diseño (dinámica de cierre)
—,Slutsky 1927; Frisch 1933 (menciones),1933,—,—,ciclo como AR(1) impulso-propagación,fluctuaciones sin causa cíclica,shocks ruido blanco; propagación lineal ρ,reproducibilidad por semilla (exacta); sd=σ/√(1-ρ²) y autocorr=ρ con T=20000; estacionariedad,simuladores/macro/modelos,nivel_03/m17_ciclo_economico.py,implementado+validado (3 verificaciones; primer modelo estocástico),conocimiento general (momentos AR(1): resultado estándar de series de tiempo)
—,"AD-AS de manual (síntesis, mención)",1970,—,—,shock de demanda en AD-SRAS lineal,reparto de un shock de gasto entre P e Y,AD postulada (m20 la deriva); Pe fijo; SRAS lineal,"equilibrio satisface ambas curvas; firma: ΔY,ΔP mismo signo; λ=0→ΔY=dA exacto",simuladores/macro/modelos,nivel_03/m18_shock_demanda.py,implementado+validado (4 verificaciones),conocimiento macro general; calibración: decisión de diseño
—,AD-AS de manual; episodios OPEP 73/79 (menciones),1973,—,—,shock de oferta y estanflación,inflación con recesión; dilema acomodar/resistir,shock ds a costos; Pe fijo; Y* intacto,firma: ΔY<0 con ΔP>0; acomodo dA=b·ds→Y=Y* exacto con ΔP=ds; resistir: menos P menos Y,simuladores/macro/modelos,nivel_03/m19_shock_oferta.py,implementado+validado (4 verificaciones),conocimiento macro general; calibración: decisión de diseño
—,síntesis neoclásica sobre Hicks (mención),1937,—,—,curva AD derivada del IS-LM,por qué la demanda agregada cae con P (efecto Keynes),M nominal exógena; canal saldos reales; sin Pigou,"cada punto de la AD ≡ equilibrio IS-LM (P=2 ≡ m10, exacto); desplazamientos dG/Ac y (b/h)dM/(P·Ac) exactos",simuladores/macro/modelos,nivel_04/m20_demanda_agregada_ad.py,implementado+validado (4 verificaciones),conocimiento macro general (NO verificado contra edición)
—,Friedman; Lucas; Fischer; Taylor (menciones),1968,—,—,SRAS P=Pe+λ(Y−Y*),por qué la oferta no es vertical a corto plazo,Pe dado (contratos); λ constante; Y* exógeno,P(Y*)=Pe exacto; dPe desplaza exactamente dPe; pendiente λ,simuladores/macro/modelos,nivel_04/m21_oferta_corto_plazo.py,implementado+validado (3 verificaciones),"forma reducida de manual; microfundamentos como mención (material de Lucas en biblioteca, no verificado)"
—,"dicotomía clásica (Hume, mención); Cobb-Douglas 1928 (mención)",1928,—,—,LRAS con Y*=A·K^α·L^(1−α) y neutralidad,qué fija el producto potencial; neutralidad del dinero,flexibilidad total; pleno empleo; CRS,neutralidad EXACTA (P'/P = M'/M con Y* fijo); M/P de LP constante; elasticidad de Y* a K = α (numérica),simuladores/macro/modelos,nivel_04/m22_oferta_largo_plazo.py,implementado+validado (4 verificaciones),conocimiento general; calibración: decisión de diseño
—,"síntesis neoclásica (manuales, mención)",1955,—,—,AD-AS completo (AD∩SRAS cuadrática + LRAS),"equilibrio macro con P endógeno; (Y,P,r) simultáneos",los de m20-m22; Pe fijo en el período,"base = largo plazo exacto (Y*,Pe); residuos <1e-9; fiscal Y↑P↑r↑; dinero NO neutral a CP; ds→estanflación",simuladores/macro/modelos,nivel_04/m23_adas_completo.py + _adas.py,implementado+validado (5 verificaciones),conocimiento macro general; solver cuadrático: matemática elemental
—,episodio OPEP/Burns/Volcker (menciones),1973,—,—,"estanflación en aparato completo con tablero (π, Δu, r)",revivir los 70; comparar acomodar/resistir,AD-AS completo; Okun β=0.4 didáctico,"π>0 y Δu>0 simultáneos; acomodar: Y↑ P↑; resistir: P↓ Y↓; sin ds → reposo en (Y*,Pe)",simuladores/macro/modelos,nivel_04/m24_estanflacion.py,implementado+validado (4 verificaciones),conocimiento macro general; episodios: mención histórica
—,síntesis (ajuste vía expectativas adaptativas),1968,—,—,ajuste dinámico al largo plazo (Pe_t+1 = P_t),trayectoria corto→largo plazo; neutralidad dinámica,shock permanente de demanda; expectativas adaptativas; sin histéresis,Y_∞ = Y* exacto (ΔY_LP=0); P converge al P_LR cerrado (1e-6); convergencia monótona; t=0 sí mueve Y,simuladores/macro/modelos,nivel_04/m25_ajuste_largo_plazo.py,implementado+validado (4 verificaciones; dinámico),conocimiento macro general (mecánica de m14 aplicada a precios)
—,Solow 1956; Swan 1956 (menciones),1956,—,—,modelo de Solow (Δk = sAk^α − (n+δ)k),¿la acumulación sostiene el crecimiento?,rendimientos decrecientes (α<1); s exógena; sin progreso técnico,Δk=0 exacto en k*; estabilidad GLOBAL; ahorro→nivel no crecimiento; invierte la paradoja m05,simuladores/macro/modelos,nivel_05/m26_solow.py + _solow.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra edición)
—,dinámica de transición de Solow; Barro/Sala-i-Martin (menciones),1956,—,—,transición y velocidad λ=(1−α)(n+δ),¿cuántos años dura el largo plazo?,linealización local en k*; parámetros constantes,semivida simulada = ln2/λ (±15%); monótona sin sobreimpulso; α amplio → λ lenta,simuladores/macro/modelos,nivel_05/m27_estado_estacionario.py,implementado+validado (4 verificaciones),conocimiento general; λ: resultado estándar
—,Phelps 1961 (mención),1961,—,—,regla de oro s_oro=α; f'(k_oro)=n+δ,¿cuánto ahorro es demasiado?,criterio: consumo de EE; Cobb-Douglas; sin descuento,argmax numérico c*(s)=α; condición marginal exacta; sobreahorro dominado en TODA la senda; subahorro cuesta presente,simuladores/macro/modelos,nivel_05/m28_regla_oro.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra edición)
—,Solow 1956/1957; Uzawa 1961 (menciones),1957,—,—,Solow con progreso técnico (BGP),¿de dónde sale el crecimiento sostenido?,g exógeno labor-augmenting; k̃ por trabajador efectivo,y crece EXACTAMENTE a g en BGP (1e-6); k̃ constante; s mueve nivel no pendiente; solo g mueve crecimiento,simuladores/macro/modelos,nivel_05/m29_solow_tecnologia.py,implementado+validado (4 verificaciones),conocimiento general; residuo de Solow: mención
—,Solow aplicado; Baumol 1986; Barro (menciones),1986,—,—,convergencia β absoluta/condicional,¿los pobres alcanzan a los ricos?,economías cerradas; misma tecnología disponible,β-convergencia (pobre crece más); gemelos → brecha 0 exacta; estructuras distintas → brecha permanente; reloj = m27,simuladores/macro/modelos,nivel_05/m30_convergencia.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra fuentes)
—,Rosenstein-Rodan 1943; MSV 1989; Azariadis-Drazen 1990 (menciones),1989,—,—,trampa de pobreza (A(k) con umbral),¿por qué algunos países no despegan?,no-convexidad: A salta en k̄; forma escalonada didáctica,dos EE estables exactos; ayuda tímida se diluye; big push escapa; histéresis (destino según k0),simuladores/macro/modelos,nivel_05/m31_trampa_pobreza.py,implementado+validado (4 verificaciones),familia big push: menciones; A(k) escalonada: decisión de diseño
—,Rebelo 1991; Romer 1986 (menciones),1991,—,—,crecimiento endógeno AK (γ=sA−(n+δ)),¿puede la acumulación sola sostener g?,"α=1 exacto (capital amplio, filo de navaja)",γ constante exacto todos los períodos; ahorro compra CRECIMIENTO; cero convergencia (ratio fijo); γ<0 decadencia,simuladores/macro/modelos,nivel_05/m32_crecimiento_ak.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra fuentes)
—,Mankiw-Romer-Weil 1992; Lucas 1988 (menciones),1992,—,—,Solow aumentado con capital humano (y=k^α h^β),¿cuánto explican educación+máquinas?,h se acumula como k; α+β<1; g exógeno,punto fijo 2D = fórmulas (1e-6); ↑s_h casi duplica y*; λ≈2.7% (la observada); complementariedad k-h,simuladores/macro/modelos,nivel_05/m33_capital_humano.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra fuentes)
